Organization Name,Industries,Headquarters Location,Description,CB Rank (Company)
Health In Her HUE,"Health Care, Wellness, Women's","New York, New York, United States",Health In Her HUE is a digital health platform connecting black women and women of color to competent healthcare providers and communities.,29852
Satvacart,"Consumer Goods, E-Commerce, Food Delivery, Grocery","Gurgaon, Haryana, India",Satvacart is an online grocery store that delivers all household needs at the customers doorstep.,29853
Sococo,"Collaboration, SaaS, Virtual Workforce","Boston, Massachusetts, United States","Sococo is the online workplace where distributed teams come to work together each day, side-by-side.",29854
Project Vesta,"Energy Storage, Environmental Consulting, Renewable Energy","San Francisco, California, United States",Project Vesta is a non-profit working to galvanize the science of coastal enhanced weathering,29855
Weather Risk Management Services,"Agriculture, AgTech, Farming","Haryana, Haryana, India","Weather Risk Management Services utilizes data, technology, and financial services to offer solutions for agricultural productivity.",29856
GrandNanny,,"London, England, United Kingdom",Grandnanny is a childcare service that bring generations closer through childcare.,29857
Maoyan,"E-Commerce, Events, Film, Media and Entertainment, Reservations, Ticketing","Beijing, Beijing, China",Maoyan provides online movie ticketing services.,29858
Opora,"Big Data, Cloud Computing, Cyber Security, Information Technology, Machine Learning, Software","San Francisco, California, United States",Opora develops cyber threat intelligence technologies.,29859
Ukko,"Food and Beverage, Health Care","Palo Alto, California, United States",Improving the lives of millions that suffer from food allergies and disorders,29860
Cellibre,"Biotechnology, Manufacturing, Sustainability","San Diego, California, United States","Cellibre turns cells into specialized, sustainable factories for the manufacture of globally significant products at scale.",29861
Shotang,"B2B, E-Commerce, Internet, Logistics","Bangalore, Karnataka, India",Shotang (Formerly Channelyst) conducts extensive on-field research to bring quality data at your doorstep.,29862
Badger DAO,"Bitcoin, Cryptocurrency, Finance, FinTech","Little Chute, Wisconsin, United States",Badger DAO is a Bitcoin-focused decentralized finance (DeFi) platform.,29863
Gibson Brands,"Brand Marketing, Lifestyle, Manufacturing, Music Education, Musical Instruments","Nashville, Tennessee, United States","Gibson Brands produces electric guitars. Its products include electric guitars and basses, acoustic guitars/basses, mandolins,",29864
Acheel,"Insurance, InsurTech","Paris, Ile-de-France, France","Acheel is an assurtech company that offers 100% digital, accessible and innovative insurance.",29865
Linkfire,"Marketing Automation, Music","Copenhagen, Hovedstaden, Denmark","Linkfire creates intelligent links that route fans to the music they love, in the apps they love.",29866
